,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
0,Abarth 695 2022,Abarth,695,2022,Black,0,2000000,06-Oct,10/02/2024
1,Acura MDX 2021,Acura,MDX,2021,Silver,1150000,425000,06-Oct,01/02/2024
2,Alfa Romeo Giulia 2021,Alfa,Romeo Giulia,2021,Dark blue,650000,2350000,Sheraton,20/05/2024
3,Alfa Romeo Tonale 2024,Alfa,Romeo Tonale,2024,Red,10000,2750000,Tagamo3 - New Cairo,20/05/2024
4,Alfa Romeo Giulietta 2021,Alfa,Romeo Giulietta,2021,White,650000,1050000,Cairo,20/05/2024
5,Alfa Romeo Giulietta 2016,Alfa,Romeo Giulietta,2016,Silver,1900000,780000,Cairo,07/05/2024
6,Alfa Romeo Stelvio 2022,Alfa,Romeo Stelvio,2022,Dark grey,150000,3350000,Heliopolis,30/04/2024
7,Alfa Romeo Giulietta 2019,Alfa,Romeo Giulietta,2019,White,1470000,1200000,Tagamo3 - New Cairo,23/04/2024
8,Alfa Romeo Giulietta 2019,Alfa,Romeo Giulietta,2019,White,1500000,1250000,Cairo,20/04/2024
9,Alfa Romeo 156 1998,Alfa,Romeo 156,1998,Black,2800000,260000,Helwan,14/04/2024
10,Alfa Romeo Giulia 2021,Alfa,Romeo Giulia,2021,Blue,200000,2200000,Sheikh Zayed City,31/03/2024
11,Alfa Romeo Giulia 2021,Alfa,Romeo Giulia,2021,Black,500000,2600000,Nasr city,27/03/2024
12,Alfa Romeo Tonale 2024,Alfa,Romeo Tonale,2024,White,650,2800000,Tagamo3 - New Cairo,21/03/2024
13,Alfa Romeo Stelvio 2024,Alfa,Romeo Stelvio,2024,Red,10,1500000,Nasr city,16/03/2024
14,Alfa Romeo 156 2003,Alfa,Romeo 156,2003,Black,2300000,360000,Nasr city,16/03/2024
15,Alfa Romeo 156 2001,Alfa,Romeo 156,2001,Silver,2430000,325000,Nasr city,13/03/2024
16,Alfa Romeo Stelvio 2021,Alfa,Romeo Stelvio,2021,Silver,650000,3000000,06-Oct,18/02/2024
17,Alfa Romeo Giulietta 2020,Alfa,Romeo Giulietta,2020,Red,1350000,1100000,06-Oct,07/02/2024
18,Alfa Romeo Giulietta 2015,Alfa,Romeo Giulietta,2015,Silver,1170000,1000000,Tagamo3 - New Cairo,31/01/2024
19,Alfa Romeo Giulietta 2015,Alfa,Romeo Giulietta,2015,Black,1200000,800000,Ismailia,04/05/2024
20,Alfa Romeo Giulietta 2015,Alfa,Romeo Giulietta,2015,Black,1550000,950000,Tagamo3 - New Cairo,23/04/2024
21,Alfa Romeo 156 2000,Alfa,Romeo 156,2000,Dark blue,1390000,280000,Cairo,19/04/2024
22,Alfa Romeo Tonale 2024,Alfa,Romeo Tonale,2024,Black,45000,2900000,06-Oct,12/04/2024
23,Alfa Romeo 146 1996,Alfa,Romeo 146,1996,Green,3900000,135000,06-Oct,03/04/2024
24,Alfa Romeo Giulietta 2016,Alfa,Romeo Giulietta,2016,Silver,1900000,700000,Heliopolis,02/04/2024
25,Alfa Romeo Giulia 2021,Alfa,Romeo Giulia,2021,Red,1080000,2050000,Al Shorouk,01/04/2024
26,Alfa Romeo 156 2003,Alfa,Romeo 156,2003,Black,2000000,360000,Nasr city,21/03/2024
27,Aston Martin Vantage 2021,Aston,Martin Vantage,2021,Dark blue,90000,5000000,Nasr city,12/02/2024
28,Aston Martin Rapide S 2016,Aston,Martin Rapide S,2016,Dark grey,160000,7500000,Heliopolis,20/02/2024
29,Audi Q3 2020,Audi,Q3,2020,Black,620000,2200000,Cairo,20/05/2024
30,Audi A3 2019,Audi,A3,2019,Black,780000,1485000,Mohandessin,20/05/2024
31,Audi Q7 2023,Audi,Q7,2023,Blue,0,5250000,Tagamo3 - New Cairo,20/05/2024
32,Audi A6 2020,Audi,A6,2020,Black,540000,3400000,Al Shorouk,20/05/2024
33,Audi Q3 2017,Audi,Q3,2017,Dark grey,970000,1550000,Maadi,20/05/2024
34,Audi Q3 2017,Audi,Q3,2017,Gray,1820000,1500000,Tagamo3 - New Cairo,20/05/2024
35,Audi A4 2019,Audi,A4,2019,Mocha,500000,1770000,Nasr city,19/05/2024
36,Audi Q3 2017,Audi,Q3,2017,Silver,1050000,1400000,Sharqia,18/05/2024
37,Audi Q3 2022,Audi,Q3,2022,White,55000,2800000,Madinaty,16/05/2024
38,Audi A3 2016,Audi,A3,2016,White,550000,1385000,Cairo,15/05/2024
39,Audi A4 2022,Audi,A4,2022,Black,630000,2200000,Tagamo3 - New Cairo,15/05/2024
40,Audi A5 2019,Audi,A5,2019,Red,940000,1850000,Tagamo3 - New Cairo,15/05/2024
41,Audi A3 2023,Audi,A3,2023,Gray,0,1950000,Kafr el-Sheikh,14/05/2024
42,Audi Q3 2016,Audi,Q3,2016,Red,1600000,1250000,Heliopolis,12/05/2024
43,Audi A4 2009,Audi,A4,2009,Black,1800000,840000,Heliopolis,12/05/2024
44,Audi A1 2014,Audi,A1,2014,White,1230000,850000,Cairo,12/05/2024
45,Audi Q5 2012,Audi,Q5,2012,Silver,2900000,1350000,06-Oct,12/05/2024
46,Audi A3 2014,Audi,A3,2014,Gray,2400000,1150000,Tagamo3 - New Cairo,11/05/2024
47,Audi Q3 2023,Audi,Q3,2023,Black,0,2750000,Tagamo3 - New Cairo,10/05/2024
48,Audi A3 2013,Audi,A3,2013,Silver,1550000,950000,Tagamo3 - New Cairo,10/05/2024
49,Audi A4 2006,Audi,A4,2006,Dark blue,1310000,510000,Tanta,09/05/2024
50,Audi A5 2016,Audi,A5,2016,Black,1100000,1550000,Heliopolis,08/05/2024
51,Audi Q3 2021,Audi,Q3,2021,Silver,610000,2100000,Shobra,08/05/2024
52,Audi A4 2018,Audi,A4,2018,White,1700000,1550000,El Katameya,06/05/2024
53,Audi A4 2017,Audi,A4,2017,Red,130000,1400000,Giza,06/05/2024
54,Audi Q3 2021,Audi,Q3,2021,Black,1000000,2000000,Madinaty,06/05/2024
55,Audi A4 2016,Audi,A4,2016,Bronze,1450000,1350000,Nasr city,05/05/2024
56,Audi Q5 2012,Audi,Q5,2012,Black,1990000,1490000,Heliopolis,05/05/2024
57,Audi E-Tron 2023,Audi,E-Tron,2023,White,0,2250000,Faiyum,06/04/2024
58,Audi A3 2020,Audi,A3,2020,Black,950000,1900000,Cairo,04/05/2024
59,Audi A3 2016,Audi,A3,2016,Black,1950000,1150000,06-Oct,04/05/2024
60,Audi A4 2019,Audi,A4,2019,White,990000,2000000,Sheikh Zayed City,04/05/2024
61,Audi A3 2020,Audi,A3,2020,Black,950000,1900000,Tagamo3 - New Cairo,03/05/2024
62,Audi Q2 2020,Audi,Q2,2020,Blue,710000,1420000,Maadi,02/05/2024
63,Audi Q7 2022,Audi,Q7,2022,Blue,380000,4850000,Madinaty,01/05/2024
64,Audi E-Tron 2023,Audi,E-Tron,2023,White,0,2150000,Tagamo3 - New Cairo,30/04/2024
65,Audi A4 2022,Audi,A4,2022,Black,680000,2160000,Cairo,13/02/2024
66,Audi A5 2024,Audi,A5,2024,Dark blue,0,3600000,Nasr city,29/04/2024
67,Audi Q3 2020,Audi,Q3,2020,White,600000,2200000,Tanta,28/04/2024
68,Audi A3 2014,Audi,A3,2014,Blue,3150000,900000,Sheikh Zayed City,28/04/2024
69,Audi Q7 2008,Audi,Q7,2008,Silver,2000000,1450000,Mohandessin,27/04/2024
70,Audi SQ8 2022,Audi,SQ8,2022,White,270000,5750000,Tanta,27/04/2024
71,Audi Q8 2020,Audi,Q8,2020,White,1200000,4450000,Cairo,27/04/2024
72,Audi A4 2019,Audi,A4,2019,Dark grey,520000,1920000,Sheikh Zayed City,26/04/2024
73,Audi Q3 2020,Audi,Q3,2020,Blue,1000000,2000000,Heliopolis,26/04/2024
74,Audi A3 2022,Audi,A3,2022,Black,630000,2000000,Tagamo3 - New Cairo,08/04/2024
75,Audi Q3 2021,Audi,Q3,2021,White,1400000,2000000,06-Oct,25/04/2024
76,Audi Q7 2011,Audi,Q7,2011,Silver,1520000,1635000,Tagamo3 - New Cairo,24/04/2024
77,Audi A4 2017,Audi,A4,2017,Black,1650000,1550000,Mohandessin,23/04/2024
78,Audi Q7 2012,Audi,Q7,2012,Black,2050000,1700000,Cairo,22/04/2024
79,Audi Q3 2015,Audi,Q3,2015,Bronze,2150000,1450000,Heliopolis,21/04/2024
80,Audi Q3 2023,Audi,Q3,2023,White,450000,2300000,Giza,20/04/2024
81,Audi A3 2015,Audi,A3,2015,White,2200000,950000,06-Oct,20/04/2024
82,Audi Q3 2021,Audi,Q3,2021,Black,1000000,2200000,Shobra,18/04/2024
83,Audi Q2 2019,Audi,Q2,2019,White,1340000,1400000,Giza,18/04/2024
84,Audi Q7 2021,Audi,Q7,2021,Blue,580000,4900000,Tagamo3 - New Cairo,18/04/2024
85,Audi A5 2023,Audi,A5,2023,Black,110000,3000000,Tagamo3 - New Cairo,16/04/2024
86,Audi Q3 2022,Audi,Q3,2022,Black,200000,735000,Heliopolis,16/04/2024
87,Audi A4 2017,Audi,A4,2017,Silver,2500000,1500000,Heliopolis,16/04/2024
88,Audi Q7 2022,Audi,Q7,2022,White,170000,4750000,Nasr city,04/04/2024
89,Audi Q5 2017,Audi,Q5,2017,Black,1140000,1775000,Nasr city,16/04/2024
90,Audi Q3 2014,Audi,Q3,2014,Red,810000,1300000,Giza,15/04/2024
91,Audi A3 2016,Audi,A3,2016,Silver,1990000,1000000,Sheikh Zayed City,05/04/2024
92,Audi Q2 2018,Audi,Q2,2018,White,1440000,1450000,Maadi,14/04/2024
93,Audi A3 2015,Audi,A3,2015,Blue,1650000,1700000,Cairo,12/04/2024
94,Audi Q3 2021,Audi,Q3,2021,Blue,920000,2200000,Sheikh Zayed City,12/04/2024
95,Audi A3 2022,Audi,A3,2022,Dark blue,350000,2050000,Cairo,10/04/2024
96,Audi Q2 2017,Audi,Q2,2017,White,1145930,1750000,Cairo,08/04/2024
97,Audi Q3 2021,Audi,Q3,2021,White,660000,2000000,06-Oct,08/04/2024
98,Audi A4 2012,Audi,A4,2012,Black,2250000,950000,10th of Ramadan,07/04/2024
99,Audi A4 2022,Audi,A4,2022,Dark grey,3000000,2550000,Tagamo3 - New Cairo,07/04/2024
100,Audi A5 2024,Audi,A5,2024,Blue,0,3350000,Nasr city,07/04/2024
101,Audi A4 2017,Audi,A4,2017,Gray,1120000,1600000,Tagamo3 - New Cairo,05/04/2024
102,Audi A4 2009,Audi,A4,2009,Blue,2000000,690000,10th of Ramadan,05/04/2024
103,Audi A4 1995,Audi,A4,1995,Dark red,2700000,300000,06-Oct,04/04/2024
104,Audi Q3 2021,Audi,Q3,2021,Black,530000,2100000,06-Oct,03/04/2024
105,Audi A5 2020,Audi,A5,2020,Blue,800000,2380000,Mansoura,03/04/2024
106,Audi Q5 2013,Audi,Q5,2013,White,1710000,1450000,Sheikh Zayed City,02/04/2024
107,Audi A6 2021,Audi,A6,2021,Black,100000,4200000,Tagamo3 - New Cairo,29/03/2024
108,Audi A6 2020,Audi,A6,2020,Dark red,355000,3900000,Tagamo3 - New Cairo,28/03/2024
109,Audi A3 2016,Audi,A3,2016,White,1310000,970000,Luxor,27/03/2024
110,Audi A4 2019,Audi,A4,2019,Dark blue,1050000,1850000,Tagamo3 - New Cairo,26/03/2024
111,Audi Q8 2023,Audi,Q8,2023,White,100,7500000,Tagamo3 - New Cairo,16/03/2024
112,Audi A4 2019,Audi,A4,2019,Black,1300000,1750000,Dokki,25/03/2024
113,Audi A5 2023,Audi,A5,2023,Blue,11700,3250000,Giza,25/03/2024
114,Audi Q7 2022,Audi,Q7,2022,White,160000,4750000,Nasr city,24/03/2024
115,Audi A3 2012,Audi,A3,2012,Silver,2500000,1100000,06-Oct,18/03/2024
116,Audi Q7 2023,Audi,Q7,2023,Black,0,5350000,Cairo,23/03/2024
117,Audi Q3 2024,Audi,Q3,2024,Dark blue,20000,2700000,Tagamo3 - New Cairo,23/03/2024
118,Audi A1 2012,Audi,A1,2012,White,1380000,650000,Tagamo3 - New Cairo,17/02/2024
119,Audi E-Tron 2023,Audi,E-Tron,2023,White,0,2400000,Tagamo3 - New Cairo,20/03/2024
120,Audi A4 2018,Audi,A4,2018,Dark red,1500000,1750000,Cairo,27/01/2024
121,Audi Q3 2017,Audi,Q3,2017,Dark green,1950000,1975000,Cairo,11/03/2024
122,Audi A3 2022,Audi,A3,2022,Black,700000,2200000,Tagamo3 - New Cairo,18/03/2024
123,Audi A1 2011,Audi,A1,2011,Red,3000000,620000,Alexandria,18/03/2024
124,Audi A4 2021,Audi,A4,2021,Black,180000,2500000,Tagamo3 - New Cairo,18/03/2024
125,Audi Q3 2023,Audi,Q3,2023,Black,0,3000000,Nasr city,16/03/2024
126,Audi A5 2024,Audi,A5,2024,Dark blue,0,3450000,El Mahalla,16/03/2024
127,Audi Q3 2021,Audi,Q3,2021,Black,400000,2700000,Tagamo3 - New Cairo,15/03/2024
128,Audi Q7 2022,Audi,Q7,2022,Dark blue,470000,5500000,Tagamo3 - New Cairo,13/03/2024
129,Audi A4 2007,Audi,A4,2007,Gold,1140000,700000,Alexandria,13/03/2024
130,Audi A3 2018,Audi,A3,2018,Dark blue,999000,690000,Cairo,05/03/2024
131,Audi Q7 2022,Audi,Q7,2022,Black,290000,5500000,Tagamo3 - New Cairo,01/03/2024
132,Audi Q3 2023,Audi,Q3,2023,Black,0,3400000,Tagamo3 - New Cairo,03/03/2024
133,Audi A3 2024,Audi,A3,2024,White,50000,2950000,Nasr city,03/03/2024
134,Audi A3 2023,Audi,A3,2023,White,190000,2400000,Zagazig,11/02/2024
135,Audi A3 2015,Audi,A3,2015,Silver,1870000,870000,Heliopolis,02/03/2024
136,Audi A4 2018,Audi,A4,2018,White,1600000,1600000,Qena,01/03/2024
137,Audi A7 2019,Audi,A7,2019,Black,1000000,3800000,Cairo,01/03/2024
138,Audi Q3 2016,Audi,Q3,2016,Silver,1300000,1650000,Sheikh Zayed City,28/02/2024
139,Audi A6 2020,Audi,A6,2020,Black,500000,3500000,Sheikh Zayed City,27/02/2024
140,Audi A4 2006,Audi,A4,2006,Silver,2530000,600000,Tagamo3 - New Cairo,27/02/2024
141,Audi A4 2021,Audi,A4,2021,Black,600000,2800000,Damietta,26/02/2024
142,Audi A8 2008,Audi,A8,2008,Silver,1480000,890000,Cairo,25/02/2024
143,Audi A4 2021,Audi,A4,2021,Black,84000,2850000,Tagamo3 - New Cairo,21/02/2024
144,Audi A4 2007,Audi,A4,2007,Silver,1990000,730000,Cairo,21/02/2024
145,Audi A3 2024,Audi,A3,2024,Gray,0,2600000,Nasr city,20/02/2024
146,Audi A4 2011,Audi,A4,2011,White,2350000,1050000,El Haram,20/02/2024
147,Audi Q5 2010,Audi,Q5,2010,Red,1400000,1450000,Tagamo3 - New Cairo,17/02/2024
148,Audi A7 2022,Audi,A7,2022,Black,360000,2000000,Kafr el-Sheikh,15/02/2024
149,Audi A3 2015,Audi,A3,2015,White,1600000,1280000,Alexandria,11/02/2024
150,Audi A3 2015,Audi,A3,2015,Black,1800000,1225000,Alexandria,10/02/2024
151,Audi Q3 2024,Audi,Q3,2024,Black,1200,4100000,Giza,08/02/2024
152,Audi A4 2019,Audi,A4,2019,Black,1000000,1980000,Suez,04/02/2024
153,Audi E-Tron 2023,Audi,E-Tron,2023,White,0,2358500,Tagamo3 - New Cairo,29/01/2024
154,Audi A4 2005,Audi,A4,2005,Black,2500000,600000,Al Shorouk,26/01/2024
155,Audi A3 2008,Audi,A3,2008,Black,2000000,600000,Obour City,23/01/2024
156,Audi A3 1997,Audi,A3,1997,Silver,2000000,400000,Cairo,21/01/2024
157,Audi Q7 2008,Audi,Q7,2008,Silver,2000000,1350000,Cairo,19/05/2024
158,Audi Q3 2022,Audi,Q3,2022,White,350000,2600000,Cairo,18/05/2024
159,Audi A5 2013,Audi,A5,2013,White,1440000,1100000,Al Shorouk,17/05/2024
160,Audi A4 2021,Audi,A4,2021,Red,1000000,1180000,06-Oct,11/05/2024
161,Audi A4 2017,Audi,A4,2017,White,2000000,1200000,Cairo,10/05/2024
162,Audi A3 2020,Audi,A3,2020,Silver,730000,1600000,Heliopolis,10/05/2024
163,Audi A3 2015,Audi,A3,2015,White,1700000,860000,Cairo,07/05/2024
164,Audi A3 2016,Audi,A3,2016,White,1360000,1150000,06-Oct,04/05/2024
165,Audi A4 2014,Audi,A4,2014,Dark grey,2310000,1320000,Al Shorouk,01/05/2024
166,Audi Q3 2024,Audi,Q3,2024,Black,2000,3000000,Tagamo3 - New Cairo,01/05/2024
167,Audi A3 2015,Audi,A3,2015,White,1900000,1300000,10th of Ramadan,28/04/2024
168,Audi A3 2012,Audi,A3,2012,White,590000,900000,Maadi,27/04/2024
169,Audi Q7 2021,Audi,Q7,2021,Black,1000000,4650000,10th of Ramadan,25/04/2024
170,Audi Q3 2014,Audi,Q3,2014,Red,1800000,1285000,Tagamo3 - New Cairo,24/04/2024
171,Audi A4 2012,Audi,A4,2012,Black,2500000,1000000,10th of Ramadan,21/04/2024
172,Audi Q3 2015,Audi,Q3,2015,Silver,1550000,1500000,Alexandria,19/04/2024
173,Audi A3 2020,Audi,A3,2020,Black,1280000,1600000,Sheikh Zayed City,18/04/2024
174,Audi A4 2007,Audi,A4,2007,Gold,1680000,525000,Damietta,15/04/2024
175,Audi Q3 2017,Audi,Q3,2017,Cyan,2400000,1500000,Tagamo3 - New Cairo,14/04/2024
176,Audi A4 2009,Audi,A4,2009,Silver,2100000,770000,06-Oct,10/04/2024
177,Audi A3 2023,Audi,A3,2023,Black,140000,2100000,Tagamo3 - New Cairo,10/04/2024
178,Audi Q3 2021,Audi,Q3,2021,White,40000,2750000,Tagamo3 - New Cairo,01/04/2024
179,Audi A3 2014,Audi,A3,2014,Silver,2000000,1350000,Cairo,20/03/2024
180,Audi Q7 2022,Audi,Q7,2022,White,100000,6000000,Warraq,16/03/2024
181,Audi A1 2012,Audi,A1,2012,Red,2000000,850000,Nasr city,15/03/2024
182,Audi A4 2007,Audi,A4,2007,Silver,2956440,650000,Cairo,11/03/2024
183,Audi Q3 2021,Audi,Q3,2021,Dark grey,680000,2700000,Tagamo3 - New Cairo,10/03/2024
184,Audi Q3 2023,Audi,Q3,2023,Blue,210000,3000250,Tagamo3 - New Cairo,10/03/2024
185,Audi A3 2015,Audi,A3,2015,Gray,1600000,1250000,Cairo,09/03/2024
186,Audi Q5 2011,Audi,Q5,2011,White,1800000,0,Alexandria,03/03/2024
187,Audi A3 2016,Audi,A3,2016,Black,2400000,1450000,Tagamo3 - New Cairo,28/02/2024
188,Audi A3 2023,Audi,A3,2023,White,190000,2950000,Cairo,18/02/2024
189,Audi Q3 2024,Audi,Q3,2024,Black,1200,4000000,Giza,14/02/2024
190,Audi A6 2015,Audi,A6,2015,Black,1000000,1850000,06-Oct,11/02/2024
191,Audi A1 2012,Audi,A1,2012,Brown,1550000,850000,06-Oct,05/02/2024
192,Audi A4 2007,Audi,A4,2007,Blue,2530000,650000,Tagamo3 - New Cairo,29/01/2024
193,Baic X3 2022,Baic,X3,2022,Red,435000,750000,Zagazig,20/05/2024
194,Baic X35 2018,Baic,X35,2018,Red,1600000,600000,Heliopolis,12/05/2024
195,Baic X7 2023,Baic,X7,2023,Silver,340000,1300000,Cairo,12/05/2024
196,Baic A1 2015,Baic,A1,2015,Gray,2000000,340000,Cairo,09/05/2024
197,Baic X3 2022,Baic,X3,2022,Bronze,280000,750000,Mohandessin,02/05/2024
198,Baic X35 2018,Baic,X35,2018,Red,1500000,600000,Cairo,01/05/2024
199,Baic X3 2022,Baic,X3,2022,Dark blue,150000,800000,Aswan,29/04/2024
200,Baic X35 2017,Baic,X35,2017,Blue,2200000,550000,Nasr city,23/04/2024
201,Baic MZ 40 2016,Baic,MZ 40,2016,Silver,1000000,295000,Faiyum,21/04/2024
202,Baic X3 2022,Baic,X3,2022,Mocha,150600,820000,Kafr el-Sheikh,14/04/2024
203,Baic X3 2022,Baic,X3,2022,White,160000,870000,Tagamo3 - New Cairo,13/04/2024
204,Baic A1 2018,Baic,A1,2018,Gold,1140000,380000,Mokattam,03/04/2024
205,Baic M60 2020,Baic,M60,2020,White,2500000,520000,El Minya,02/04/2024
206,Baic A1 2015,Baic,A1,2015,Blue,2140000,340000,Tagamo3 - New Cairo,01/04/2024
207,Baic X3 2023,Baic,X3,2023,Red,22500,1300000,Mokattam,29/03/2024
208,Baic MZ 40 2019,Baic,MZ 40,2019,Dark grey,700000,300000,Cairo,27/03/2024
209,Baic X3 2022,Baic,X3,2022,White,440000,760000,El Haram,25/03/2024
210,Baic X7 2023,Baic,X7,2023,Silver,70000,1600000,06-Oct,25/03/2024
211,Baic MZ 40 2018,Baic,MZ 40,2018,White,150000,350000,Maadi,24/03/2024
212,Baic X3 2022,Baic,X3,2022,White,520000,800000,Cairo,20/03/2024
213,Baic X7 2022,Baic,X7,2022,Silver,480000,1550000,Mohandessin,18/03/2024
214,Baic X35 2018,Baic,X35,2018,Blue,930000,820000,Mansoura,16/03/2024
215,Baic X3 2022,Baic,X3,2022,Bronze,500000,720000,Qena,03/03/2024
216,Baic X3 2022,Baic,X3,2022,Mocha,400000,835000,06-Oct,28/02/2024
217,Baic A1 1996,Baic,A1,1996,White,600000,140000,Aswan,23/02/2024
218,Baic X3 2022,Baic,X3,2022,Mocha,350000,680000,Aswan,21/02/2024
219,Baic X35 2018,Baic,X35,2018,Red,740000,680000,Imbaba,14/02/2024
220,Baic A1 2015,Baic,A1,2015,Silver,2000000,355000,Saft El Laban,07/02/2024
221,Baic A1 2016,Baic,A1,2016,Red,1130000,235000,Shobra,03/02/2024
222,Baic A1 2016,Baic,A1,2016,Bronze,2200000,370000,Sheraton,01/02/2024
223,Baic X3 2023,Baic,X3,2023,Brown,100000,950000,06-Oct,02/04/2024
224,Baic X5 2022,Baic,X5,2022,Blue,500000,900000,06-Oct,16/03/2024
225,Baic A1 2016,Baic,A1,2016,Red,1400000,360000,Mansoura,12/03/2024
226,Baic X35 2018,Baic,X35,2018,Brown,2420000,730000,06-Oct,28/02/2024
227,Baic A1 2015,Baic,A1,2015,White,730000,420000,Cairo,22/02/2024
228,Bentley Bentayga 2023,Bentley,Bentayga,2023,Dark grey,0,23000000,Kafr el-Dawwar,13/05/2024
229,Bentley Flying Spur 2021,Bentley,Flying Spur,2021,Black,0,16000000,Tagamo3 - New Cairo,15/02/2024
230,Bestune T77 Pro 2024,Bestune,T77 Pro,2024,White,0,1585000,06-Oct,20/05/2024
231,Bestune T33 2023,Bestune,T33,2023,Red,12000,980000,Cairo,10/05/2024
232,Bestune Oley 2000,Bestune,Oley,2000,Silver,0,200000,Giza,10/05/2024
233,Bestune B70 2022,Bestune,B70,2022,Red,330000,1000000,Port Said,04/05/2024
234,Bestune T77 Pro 2023,Bestune,T77 Pro,2023,Red,90000,1650000,Hurghada,22/03/2024
235,Bestune B70 2022,Bestune,B70,2022,White,80000,1000000,Helwan,08/03/2024
236,Bestune T77 Pro 2022,Bestune,T77 Pro,2022,Blue,270000,900000,Giza,20/01/2024
237,Bestune B70 2022,Bestune,B70,2022,Red,295000,1050000,Port Said,22/04/2024
238,Bestune B70 2022,Bestune,B70,2022,Silver,330000,1050000,Cairo,29/03/2024
239,Bestune T77 Pro 2023,Bestune,T77 Pro,2023,White,48500,1400000,Alexandria,18/03/2024
240,BMW 116 2014,BMW,116,2014,Red,2190000,800000,Madinaty,20/05/2024
241,BMW X3 2017,BMW,X3,2017,Black,1830000,0,Nasr city,20/05/2024
242,BMW 740 2020,BMW,740,2020,Black,490000,5800000,Heliopolis,20/05/2024
243,BMW X3 2019,BMW,X3,2019,Black,2140000,2250000,Dokki,20/05/2024
244,BMW 523 2006,BMW,523,2006,Silver,3000000,750000,10th of Ramadan,20/05/2024
245,BMW 320 2019,BMW,320,2019,Silver,710000,1580000,Giza,20/05/2024
246,BMW X5 2016,BMW,X5,2016,Gray,700000,2900000,Tagamo3 - New Cairo,20/05/2024
247,BMW X5 2016,BMW,X5,2016,Black,1500000,2800000,Nasr city,20/05/2024
248,BMW X3 2011,BMW,X3,2011,Dark grey,1390000,1050000,Dokki,20/05/2024
249,BMW X1 2021,BMW,X1,2021,White,1250000,2075000,Tagamo3 - New Cairo,20/05/2024
250,BMW 318 2018,BMW,318,2018,White,700000,1900000,Cairo,20/05/2024
251,BMW 318 2018,BMW,318,2018,Black,1200000,1520000,Nasr city,20/05/2024
252,BMW X3 M 2024,BMW,X3 M,2024,Black,0,4650000,Obour City,20/05/2024
253,BMW X6 M 2017,BMW,X6 M,2017,Bronze,700000,3700000,Cairo,20/05/2024
254,BMW 218 i 2015,BMW,218 i,2015,Black,1520000,950000,06-Oct,20/05/2024
255,BMW 318 2017,BMW,318,2017,Dark blue,1690000,1200000,Maadi,20/05/2024
256,BMW 318 2000,BMW,318,2000,Olive,3000000,350000,El Haram,20/05/2024
257,BMW 523 2012,BMW,523,2012,Silver,1790000,1200000,Tagamo3 - New Cairo,20/05/2024
258,BMW 320 2015,BMW,320,2015,Gray,1190000,1500000,Tagamo3 - New Cairo,20/05/2024
259,BMW X5 M 2023,BMW,X5 M,2023,Black,230,6800000,Maadi,20/05/2024
260,BMW X3 2018,BMW,X3,2018,Black,1180000,2250000,06-Oct,20/05/2024
261,BMW 316 2015,BMW,316,2015,Black,1600000,1160000,Sheikh Zayed City,20/05/2024
262,BMW 520 2018,BMW,520,2018,White,1000000,2500000,Cairo,20/05/2024
263,BMW 320 2013,BMW,320,2013,Blue,1900000,1180000,Damietta,20/05/2024
264,BMW X3 2012,BMW,X3,2012,Silver,1900000,1400000,Sheikh Zayed City,20/05/2024
265,BMW 316 2015,BMW,316,2015,Blue,730000,1390000,Heliopolis,20/05/2024
266,BMW 328 2013,BMW,328,2013,Blue,1550000,1390000,Heliopolis,20/05/2024
267,BMW 318 2017,BMW,318,2017,Blue,1500000,1500000,Sheraton,20/05/2024
268,BMW 418 2016,BMW,418,2016,Blue,950000,1800000,Madinaty,20/05/2024
269,BMW X5 2018,BMW,X5,2018,Silver,430000,3900000,Zagazig,20/05/2024
270,BMW X3 2015,BMW,X3,2015,Gray,1250000,1600000,Mohandessin,20/05/2024
271,BMW 320 2009,BMW,320,2009,Red,1950000,660000,06-Oct,20/05/2024
272,BMW X6 2017,BMW,X6,2017,Silver,1700000,2800000,Cairo,20/05/2024
273,BMW 520 2014,BMW,520,2014,Dark blue,1900000,1480000,Sheikh Zayed City,20/05/2024
274,BMW X3 2008,BMW,X3,2008,Black,2180000,780000,Tagamo3 - New Cairo,20/05/2024
275,BMW X1 2018,BMW,X1,2018,Silver,950000,1530000,Tagamo3 - New Cairo,20/05/2024
276,BMW 520 2019,BMW,520,2019,Black,385000,3000000,Damietta,20/05/2024
277,BMW M4 2022,BMW,M4,2022,Gray,65000,7750000,Tagamo3 - New Cairo,20/05/2024
278,BMW 218 i 2020,BMW,218 i,2020,Blue,450000,1750000,Zamalek,20/05/2024
279,BMW 520 2023,BMW,520,2023,Blue,0,3850000,Heliopolis,20/05/2024
280,BMW 318 1998,BMW,318,1998,Silver,3750000,385000,Nasr city,20/05/2024
281,BMW 525 2001,BMW,525,2001,Silver,1760000,410000,Sohag,20/05/2024
282,BMW 318 2019,BMW,318,2019,Dark blue,1690000,1350000,06-Oct,20/05/2024
283,BMW 218 i 2019,BMW,218 i,2019,White,600000,1900000,Sheikh Zayed City,20/05/2024
284,BMW IX3 2024,BMW,IX3,2024,Dark blue,0,3100000,Cairo,20/05/2024
285,BMW 520 2023,BMW,520,2023,White,0,3800000,Maadi,20/05/2024
286,BMW 316 1994,BMW,316,1994,Cyan,3070000,300000,Damanhur,20/05/2024
287,BMW 520 2016,BMW,520,2016,Blue,1630000,1750000,Tagamo3 - New Cairo,20/05/2024
